"drug","model","feature","importance"
"methicillin","logistic","ANT.4...Ib",17.635864248714
"methicillin","logistic","GdpD",17.6358642487124
"methicillin","logistic","gyrB",17.6358642486841
"methicillin","logistic","S10p",17.6358642484693
"methicillin","logistic","TcaB2",17.6358642483583
"methicillin","logistic","MurA",17.6358642480831
"methicillin","logistic","rpoB",17.6358642479486
"methicillin","logistic","gyrA",17.6358642479033
"methicillin","logistic","blaZ",16.6375264003033
"methicillin","logistic","rpoC",16.6375264002693
"methicillin","logistic","S12p",16.6375264002339
"methicillin","logistic","BlaZ.family",16.6375264002303
"methicillin","logistic","rho",-8.69619647756483e-11
"methicillin","logistic","BceR",-1.40794961523329e-10
"methicillin","rf","S10p",0.318294206740779
"methicillin","rf","gyrA",0.194501828195946
"methicillin","rf","blaZ",0.181520965945948
"methicillin","rf","S12p",0.180682557642238
"methicillin","rf","BlaZ.family",0.160667102347725
"methicillin","rf","rpoC",0.159500824627573
"methicillin","rf","TcaB2",0.106075670725415
"methicillin","rf","rpoB",0.103060845774659
"methicillin","rf","ANT.4...Ib",0.094303043908684
"methicillin","rf","BceR",0.0921760557681885
"methicillin","rf","gyrB",0.0889907442345315
"methicillin","rf","GdpD",0.0884689458644192
"methicillin","rf","MurA",0.0881943671817972
"methicillin","rf","rho",0.0651868327885879
"methicillin","rf","AAC.6...Ie.APH.2....Ia",0
"methicillin","rf","ANT.6..I",0
"methicillin","rf","ANT.9..I",0
"methicillin","rf","APH.3...IIIa",0
"methicillin","rf","Alr",0
"methicillin","rf","BceA",0
"methicillin","rf","BceB",0
"methicillin","rf","BceS",0
"methicillin","rf","Ddl",0
"methicillin","rf","EF.G",0
"methicillin","rf","EF.Tu",0
"methicillin","rf","Erm.C.",0
"methicillin","rf","ErmC",0
"methicillin","rf","FosB",0
"methicillin","rf","Iso.tRNA",0
"methicillin","rf","LiaF",0
"methicillin","rf","LiaR",0
"methicillin","rf","LiaS",0
"methicillin","rf","MprF",0
"methicillin","rf","NorA",0
"methicillin","rf","PgsA",0
"methicillin","rf","TcaA",0
"methicillin","rf","TcaB",0
"methicillin","rf","TcaR",0
"methicillin","rf","Tet.38.",0
"methicillin","rf","aadD",0
"methicillin","rf","alr1",0
"methicillin","rf","ant9",0
"methicillin","rf","aphA",0
"methicillin","rf","arlR",0
"methicillin","rf","arlS",0
"methicillin","rf","bceS",0
"methicillin","rf","bcr",0
"methicillin","rf","blaI",0
"methicillin","rf","blaI.1",0
"methicillin","rf","blaR1",0
"methicillin","rf","cls",0
"methicillin","rf","cls_2",0
"methicillin","rf","ddl",0
"methicillin","rf","dfrA",0
"methicillin","rf","dfrC",0
"methicillin","rf","dfrG",0
"methicillin","rf","ermA",0
"methicillin","rf","ermC",0
"methicillin","rf","fabF",0
"methicillin","rf","fabI",0
"methicillin","rf","folA..Dfr",0
"methicillin","rf","folP",0
"methicillin","rf","fosB2",0
"methicillin","rf","fusA",0
"methicillin","rf","gidB",0
"methicillin","rf","graR",0
"methicillin","rf","graR_1",0
"methicillin","rf","gyrA_1",0
"methicillin","rf","ileS",0
"methicillin","rf","inhA..fabI",0
"methicillin","rf","kasA",0
"methicillin","rf","macB_1",0
"methicillin","rf","macB_2",0
"methicillin","rf","mecA",0
"methicillin","rf","mecA_1",0
"methicillin","rf","mecA_2",0
"methicillin","rf","mecI",0
"methicillin","rf","mecR1",0
"methicillin","rf","mepA",0
"methicillin","rf","mepR",0
"methicillin","rf","mgrA",0
"methicillin","rf","mprF",0
"methicillin","rf","murA",0
"methicillin","rf","murZ",0
"methicillin","rf","norA",0
"methicillin","rf","norB_1",0
"methicillin","rf","norB_2",0
"methicillin","rf","norB_3",0
"methicillin","rf","norB_4",0
"methicillin","rf","norB_5",0
"methicillin","rf","norB_6",0
"methicillin","rf","parE",0
"methicillin","rf","pgsA",0
"methicillin","rf","rplF",0
"methicillin","rf","rpsJ",0
"methicillin","rf","rpsL",0
"methicillin","rf","sat.4",0
"methicillin","rf","sav1866",0
"methicillin","rf","tcaA",0
"methicillin","rf","tcaB",0
"methicillin","rf","tcaB_1",0
"methicillin","rf","tcaB_2",0
"methicillin","rf","tcaR",0
"methicillin","rf","tet.38.",0
"methicillin","rf","tet38",0
"methicillin","rf","tetA",0
"methicillin","rf","tetL",0
"methicillin","rf","tuf",0
"methicillin","rf","tufA",0
"methicillin","rf","ugpQ_1",0
"methicillin","rf","ugpQ_2",0
"methicillin","rf","ugpQ_3",0
"methicillin","rf","ugpQ_4",0
"methicillin","rf","vraG",0
"methicillin","rf","vraR_1",0
"methicillin","rf","vraS_1",0
"methicillin","rf","vraS_2",0
"methicillin","rf","yheS_3",0
"methicillin","rf","yvqF",0
"erythromycin","logistic","rpoB",33.1990840436647
"erythromycin","logistic","norB_2",17.8087384604627
"erythromycin","logistic","gyrA",17.8087384600473
"erythromycin","logistic","fabF",17.8087384598239
"erythromycin","logistic","EF.G",17.8087384598109
"erythromycin","logistic","mepA",17.8087384596374
"erythromycin","logistic","Ddl",17.8087384595612
"erythromycin","logistic","BceB",17.5660684864331
"erythromycin","logistic","S10p",17.3233985136427
"erythromycin","logistic","folA..Dfr",0.935817154224503
"erythromycin","logistic","blaZ",0.24266997366459
"erythromycin","logistic","pgsA",0.242669973664558
"erythromycin","logistic","folP",4.10393245324985e-11
"erythromycin","logistic","PgsA",-0.242669973868787
"erythromycin","logistic","gyrB",-0.450477206895369
"erythromycin","logistic","mgrA",-0.450477206895385
"erythromycin","logistic","dfrC",-16.3568720483526
"erythromycin","logistic","kasA",-16.8729213057353
"erythromycin","logistic","MurA",-17.3233985125551
"erythromycin","logistic","arlS",-17.3233985126036
"erythromycin","logistic","rpoC",-17.3233985126397
"erythromycin","logistic","BceS",-17.3233985126518
"erythromycin","logistic","norB_3",-17.3233985126733
"erythromycin","logistic","LiaS",-17.32339851268
"erythromycin","logistic","mepR",-17.3233985126829
"erythromycin","logistic","fusA",-17.3233985126923
"erythromycin","logistic","GdpD",-17.3233985126944
"erythromycin","logistic","BlaZ.family",-17.3233985126945
"erythromycin","logistic","arlR",-17.3233985127013
"erythromycin","logistic","tetA",-17.3233985127022
"erythromycin","logistic","BceR",-17.3233985127139
"erythromycin","logistic","blaR1",-17.3233985127554
"erythromycin","logistic","LiaR",-17.3233985127584
"erythromycin","logistic","Alr",-17.3233985127615
"erythromycin","logistic","parE",-17.3233985127727
"erythromycin","logistic","graR",-17.323398512789
"erythromycin","logistic","NorA",-17.3233985128247
"erythromycin","logistic","Iso.tRNA",-33.1990840436687
"erythromycin","logistic","ugpQ_3",-50.5224825563546
"erythromycin","rf","mepA",0.524191561534061
"erythromycin","rf","folA..Dfr",0.343510313823297
"erythromycin","rf","gyrA",0.294660571009999
"erythromycin","rf","norB_2",0.263591994542808
"erythromycin","rf","EF.G",0.26054414623166
"erythromycin","rf","MurA",0.239375997913912
"erythromycin","rf","fabF",0.237461527650673
"erythromycin","rf","rpoB",0.235694195713203
"erythromycin","rf","pgsA",0.233958346088941
"erythromycin","rf","folP",0.225288063541717
"erythromycin","rf","BceB",0.222658802243038
"erythromycin","rf","arlR",0.219963877200964
"erythromycin","rf","graR",0.214079188818246
"erythromycin","rf","gyrB",0.204992283218232
"erythromycin","rf","dfrC",0.185617788706705
"erythromycin","rf","mgrA",0.183678866184314
"erythromycin","rf","Ddl",0.173868894641989
"erythromycin","rf","ErmC",0.166019759636502
"erythromycin","rf","blaZ",0.159228291747027
"erythromycin","rf","S10p",0.143215754782748
"erythromycin","rf","blaR1",0.137925814323373
"erythromycin","rf","NorA",0.135715192113279
"erythromycin","rf","ugpQ_3",0.119778040045116
"erythromycin","rf","norB_3",0.116505839348575
"erythromycin","rf","LiaS",0.108676731515841
"erythromycin","rf","BceS",0.107567067412562
"erythromycin","rf","Alr",0.10601866778398
"erythromycin","rf","BlaZ.family",0.105212176620784
"erythromycin","rf","parE",0.103177677840367
"erythromycin","rf","mepR",0.102989663234365
"erythromycin","rf","rpoC",0.101901307760907
"erythromycin","rf","GdpD",0.0987440407339495
"erythromycin","rf","LiaR",0.097488969003394
"erythromycin","rf","arlS",0.0952865054309574
"erythromycin","rf","tetA",0.0939580598626117
"erythromycin","rf","kasA",0.0920921420352903
"erythromycin","rf","fusA",0.0816706895723001
"erythromycin","rf","PgsA",0.0715077945088309
"erythromycin","rf","BceR",0.0648731571371194
"erythromycin","rf","Iso.tRNA",0.0640372398301708
"erythromycin","rf","AAC.6...Ie.APH.2....Ia",0
"erythromycin","rf","ANT.4...Ib",0
"erythromycin","rf","ANT.6..I",0
"erythromycin","rf","ANT.9..I",0
"erythromycin","rf","APH.3...IIIa",0
"erythromycin","rf","BceA",0
"erythromycin","rf","EF.Tu",0
"erythromycin","rf","Erm.C.",0
"erythromycin","rf","FosB",0
"erythromycin","rf","LiaF",0
"erythromycin","rf","MprF",0
"erythromycin","rf","S12p",0
"erythromycin","rf","TcaA",0
"erythromycin","rf","TcaB",0
"erythromycin","rf","TcaB2",0
"erythromycin","rf","TcaR",0
"erythromycin","rf","Tet.38.",0
"erythromycin","rf","aadD",0
"erythromycin","rf","alr1",0
"erythromycin","rf","ant9",0
"erythromycin","rf","aphA",0
"erythromycin","rf","bceS",0
"erythromycin","rf","bcr",0
"erythromycin","rf","blaI",0
"erythromycin","rf","blaI.1",0
"erythromycin","rf","cls",0
"erythromycin","rf","cls_2",0
"erythromycin","rf","ddl",0
"erythromycin","rf","dfrA",0
"erythromycin","rf","dfrG",0
"erythromycin","rf","ermA",0
"erythromycin","rf","ermC",0
"erythromycin","rf","fabI",0
"erythromycin","rf","fosB2",0
"erythromycin","rf","gidB",0
"erythromycin","rf","graR_1",0
"erythromycin","rf","gyrA_1",0
"erythromycin","rf","ileS",0
"erythromycin","rf","inhA..fabI",0
