drug,model,feature,importance
methicillin,LogReg,S10p,0.6961596444602937
methicillin,LogReg,gyrB,0.5909789193196284
methicillin,LogReg,gyrA,0.5909789193196284
methicillin,LogReg,blaZ,0.523357287532036
methicillin,LogReg,rpoC,0.523357287532036
methicillin,LogReg,S12p,0.523357287532036
methicillin,LogReg,BlaZ family,0.523357287532036
methicillin,LogReg,BceR,0.5009001760269364
methicillin,LogReg,TcaB2,0.3402459776514603
methicillin,LogReg,GdpD,0.3402459776514603
methicillin,LogReg,ANT(4')-Ib,0.3402459776514603
methicillin,LogReg,rpoB,0.3402459776514603
methicillin,LogReg,MurA,0.3402459776514603
methicillin,LogReg,TcaB,0.2954894596598142
methicillin,LogReg,arlS,0.2954894596598142
methicillin,LogReg,Alr,0.2954894596598142
methicillin,LogReg,"folA, Dfr",0.2954894596598142
methicillin,LogReg,rho,0.23176302555150852
methicillin,LogReg,APH(3')-IIIa,0.0
methicillin,LogReg,Erm(C),0.0
methicillin,LogReg,BceA,0.0
methicillin,LogReg,EF-Tu,0.0
methicillin,LogReg,BceS,0.0
methicillin,LogReg,MprF,0.0
methicillin,LogReg,LiaS,0.0
methicillin,LogReg,LiaR,0.0
methicillin,LogReg,LiaF,0.0
methicillin,LogReg,Iso-tRNA,0.0
methicillin,LogReg,FosB,0.0
methicillin,LogReg,ErmC,0.0
methicillin,LogReg,PgsA,0.0
methicillin,LogReg,TcaA,0.0
methicillin,LogReg,TcaR,0.0
methicillin,LogReg,aadD,0.0
methicillin,LogReg,Tet(38),0.0
methicillin,LogReg,alr1,0.0
methicillin,LogReg,ant9,0.0
methicillin,LogReg,aphA,0.0
methicillin,LogReg,NorA,0.0
methicillin,LogReg,arlR,0.0
methicillin,LogReg,bceS,0.0
methicillin,LogReg,blaI,0.0
methicillin,LogReg,bcr,0.0
methicillin,LogReg,blaI-1,0.0
methicillin,LogReg,blaR1,0.0
methicillin,LogReg,cls,0.0
methicillin,LogReg,cls_2,0.0
methicillin,LogReg,ddl,0.0
methicillin,LogReg,dfrA,0.0
methicillin,LogReg,ANT(9)-I,0.0
methicillin,LogReg,BceB,0.0
methicillin,LogReg,Ddl,0.0
methicillin,LogReg,EF-G,0.0
methicillin,LogReg,ANT(6)-I,0.0
methicillin,LogReg,AAC(6')-Ie-APH(2'')-Ia,0.0
methicillin,LogReg,fabI,0.0
methicillin,LogReg,fabF,0.0
methicillin,LogReg,ermC,0.0
methicillin,LogReg,ermA,0.0
methicillin,LogReg,dfrG,0.0
methicillin,LogReg,dfrC,0.0
methicillin,LogReg,fusA,0.0
methicillin,LogReg,fosB2,0.0
methicillin,LogReg,graR_1,0.0
methicillin,LogReg,gyrA_1,0.0
methicillin,LogReg,ileS,0.0
methicillin,LogReg,"inhA, fabI",0.0
methicillin,LogReg,kasA,0.0
methicillin,LogReg,gidB,0.0
methicillin,LogReg,graR,0.0
methicillin,LogReg,folP,0.0
methicillin,LogReg,mecA_1,0.0
methicillin,LogReg,mecA_2,0.0
methicillin,LogReg,mecI,0.0
methicillin,LogReg,mecR1,0.0
methicillin,LogReg,mepA,0.0
methicillin,LogReg,mepR,0.0
methicillin,LogReg,mgrA,0.0
methicillin,LogReg,mprF,0.0
methicillin,LogReg,murA,0.0
methicillin,LogReg,murZ,0.0
methicillin,LogReg,norA,0.0
methicillin,LogReg,norB_1,0.0
methicillin,LogReg,norB_2,0.0
methicillin,LogReg,macB_1,0.0
methicillin,LogReg,macB_2,0.0
methicillin,LogReg,mecA,0.0
methicillin,LogReg,norB_5,0.0
methicillin,LogReg,norB_4,0.0
methicillin,LogReg,norB_3,0.0
methicillin,LogReg,norB_6,0.0
methicillin,LogReg,pgsA,0.0
methicillin,LogReg,parE,0.0
methicillin,LogReg,rplF,0.0
methicillin,LogReg,rpsJ,0.0
methicillin,LogReg,rpsL,0.0
methicillin,LogReg,sat-4,0.0
methicillin,LogReg,sav1866,0.0
methicillin,LogReg,tcaA,0.0
methicillin,LogReg,tcaB,0.0
methicillin,LogReg,tcaB_1,0.0
methicillin,LogReg,tcaB_2,0.0
methicillin,LogReg,tcaR,0.0
methicillin,LogReg,tet(38),0.0
methicillin,LogReg,tet38,0.0
methicillin,LogReg,tetA,0.0
methicillin,LogReg,tetL,0.0
methicillin,LogReg,tuf,0.0
methicillin,LogReg,tufA,0.0
methicillin,LogReg,ugpQ_1,0.0
methicillin,LogReg,ugpQ_2,0.0
methicillin,LogReg,ugpQ_3,0.0
methicillin,LogReg,ugpQ_4,0.0
methicillin,LogReg,vraG,0.0
methicillin,LogReg,vraR_1,0.0
methicillin,LogReg,vraS_1,0.0
methicillin,LogReg,vraS_2,0.0
methicillin,LogReg,yheS_3,0.0
methicillin,LogReg,yvqF,0.0
methicillin,RandomForest,S10p,0.09859677736554216
methicillin,RandomForest,gyrB,0.09454121612552555
methicillin,RandomForest,gyrA,0.09424245975256824
methicillin,RandomForest,blaZ,0.0851304635413913
methicillin,RandomForest,rpoC,0.0719460725216699
methicillin,RandomForest,S12p,0.06879040325217241
methicillin,RandomForest,BceR,0.06564704029709553
methicillin,RandomForest,BlaZ family,0.06466849261838978
methicillin,RandomForest,ANT(4')-Ib,0.054055834177030596
methicillin,RandomForest,rpoB,0.051481144250688914
methicillin,RandomForest,GdpD,0.049133390733258314
methicillin,RandomForest,TcaB2,0.046253738015416865
methicillin,RandomForest,MurA,0.04180811481977768
methicillin,RandomForest,"folA, Dfr",0.0252980150090139
methicillin,RandomForest,TcaB,0.023215385256903576
methicillin,RandomForest,Alr,0.022170823203279826
methicillin,RandomForest,arlS,0.022041361271044838
methicillin,RandomForest,rho,0.020979267789230722
methicillin,RandomForest,APH(3')-IIIa,0.0
methicillin,RandomForest,Erm(C),0.0
methicillin,RandomForest,BceA,0.0
